Gender,Level,Age,CGPA,Exam Frequency,Better System,Stress Exam Type,Likert_MCQ_Objectivity,Likert_Written_Fairness,Likert_MCQ_Accuracy,Likert_MCQ_Guessing,Likert_Written_Depth,Likert_MCQ_Prep_Ease,Likert_Written_Measure,Likert_Written_Time_Stress,Likert_Stress_Comparison,Field_Category,Preferred_System_Type
1,1,1,3,2,0,1,5,1,5,5,1,5,1,5,5,Computer Science & IT,Other
1,1,1,2.98,2,0,1,5,3,4,3,2,4,2,4,3,Data Science & AI,MCQ 
1,1,1,3.93,2,1,2,3,4,3,5,5,2,5,2,2,Computer Science & IT,Written 
0,1,1,3.53,1,0,1,4,3,3,3,4,5,4,5,5,Computer Science & IT,Other
1,1,1,3.18,1,1,1,2,5,4,5,5,5,5,1,5,Computer Science & IT,Mixed 
0,1,1,3.4,2,0,1,4,3,3,2,4,4,3,5,5,Business & Economics,Mixed 
0,1,1,3.4,1,0,2,2,4,4,3,4,4,4,5,3,Data Science & AI,Other
0,1,1,3.4,2,0,1,4,3,4,4,4,4,3,4,4,Computer Science & IT,MCQ 
1,1,1,3.4,2,2,1,3,4,1,5,5,4,4,2,2,Data Science & AI,Mixed 
0,2,1,3.7,2,0,1,5,3,4,3,4,5,2,2,5,Computer Science & IT,Other
1,1,1,3.87,2,1,1,2,4,2,4,5,4,4,1,3,Computer Science & IT,Mixed 
1,1,1,3.2,2,1,1,4,3,3,4,5,4,5,4,4,Computer Science & IT,Mixed 
1,0,0,-,2,1,2,4,4,3,5,5,4,5,3,4,High School Student,Mixed 
0,1,2,3,2,1,1,4,2,2,4,5,3,5,5,5,Engineering,Other
1,2,2,3.8,1,1,1,3,4,3,3,5,2,5,4,4,Data Science & AI,Practical/Project-Based
0,1,1,3.5,2,0,0,5,3,4,5,4,5,4,2,2,Medical & Health,MCQ 
1,1,1,2.9,1,1,2,4,3,3,4,5,3,5,4,4,Computer Science & IT,Written 
0,0,0,-,2,1,1,3,3,2,5,4,3,4,5,5,High School Student,Written 
1,1,2,3.1,0,2,0,5,2,4,5,3,5,3,2,2,Computer Science & IT,Other
0,2,2,3.7,1,1,1,3,5,3,2,5,2,5,4,4,Humanities & Law,Written 
1,1,1,3.3,1,2,1,3,4,3,3,4,2,4,3,3,Computer Science & IT,Mixed 
1,1,1,3.4,1,1,2,4,2,5,2,4,2,5,1,2,Computer Science & IT,Other
1,1,1,2.9,1,2,2,3,4,2,5,4,4,4,2,3,Computer Science & IT,Mixed 
1,1,1,3.7,2,2,2,5,3,5,3,5,4,5,2,3,Engineering,Other
1,1,1,3.68,1,2,1,5,4,3,5,2,5,3,5,4,Data Science & AI,Mixed 
1,1,1,4,1,2,2,5,5,5,5,5,5,5,5,5,Engineering,Other
1,1,1,3,1,1,1,4,4,3,4,4,4,4,4,4,Computer Science & IT,Mixed 
0,0,0,3,1,2,2,2,2,2,2,2,2,2,2,2,Other,MCQ 
0,1,1,2.8,2,0,1,5,3,5,5,5,5,5,3,5,Data Science & AI,MCQ 
0,1,1,2.8,1,1,2,4,4,2,5,3,2,4,5,3,Engineering,Practical/Project-Based
1,1,1,2.5,2,1,1,2,5,2,4,5,4,5,3,5,Engineering,Written 
1,1,1,3.6,1,1,2,3,5,3,4,4,5,4,4,4,Medical & Health,Other
1,0,1,3.888,2,0,1,5,1,5,5,3,5,3,5,5,Business & Economics,MCQ 
0,1,1,2.312,1,1,1,2,5,2,5,5,3,5,3,4,Business & Economics,Other
1,1,1,-,0,1,1,3,5,3,2,5,1,4,4,5,Humanities & Law,Mixed 
0,2,2,-,1,0,1,5,3,4,4,3,5,3,2,4,Humanities & Law,MCQ 
0,1,1,3.64,2,2,1,4,2,4,5,3,3,2,4,5,Computer Science & IT,Mixed 
1,0,1,-,1,2,2,1,1,3,5,3,3,4,5,4,High School Student,Other
1,1,1,2.1,1,1,2,2,4,3,5,2,3,5,4,2,Other,Mixed 
1,1,1,3,2,1,2,3,5,3,4,5,2,5,4,4,Computer Science & IT,Other
1,0,1,3,1,0,1,4,2,5,5,5,5,5,5,3,Humanities & Law,Other
1,1,1,3.2,2,0,2,5,3,3,5,5,5,5,5,5,Other,Practical/Project-Based
1,1,1,3.1,2,1,2,3,5,2,4,5,3,5,2,3,Engineering,Other
0,1,1,3.58,2,1,1,3,4,3,5,4,5,4,4,4,Business & Economics,Written 
0,2,2,3.6,1,0,1,5,2,5,2,1,3,1,2,5,Other,MCQ 
1,1,1,2.7,2,2,1,3,4,3,3,4,5,3,5,5,Medical & Health,Mixed 
0,2,2,3.02,2,2,1,4,4,2,4,4,4,4,1,3,Computer Science & IT,Mixed 
0,2,2,3.5,1,2,1,5,3,5,3,3,2,3,4,3,Humanities & Law,Mixed 
1,1,1,2.6,1,1,0,3,4,2,4,4,2,4,2,2,Humanities & Law,Other
1,0,0,-,2,0,0,1,1,1,1,1,1,1,1,1,High School Student,Other
1,1,1,3.6,2,2,1,4,3,3,5,5,4,4,4,5,Engineering,Practical/Project-Based
0,2,2,3.9,1,1,2,2,5,2,4,5,2,5,3,3,Humanities & Law,Written 
1,0,0,3.2,0,0,0,5,2,4,5,2,5,2,2,1,Other,Other
0,1,1,3.8,2,1,1,3,4,2,3,5,2,5,5,5,Computer Science & IT,Written 
0,1,1,3,2,2,2,4,4,3,5,4,3,3,3,3,Other,Practical/Project-Based
1,0,0,-,1,1,1,2,5,2,4,5,3,5,4,4,High School Student,Mixed 
0,2,2,3.02,1,1,2,3,4,2,5,4,3,4,1,3,Computer Science & IT,Mixed 
1,1,1,3,2,0,1,4,1,4,4,2,5,1,4,5,Computer Science & IT,Other
0,1,1,-,1,1,1,2,4,1,4,5,4,5,3,5,Humanities & Law,Written 
1,1,1,2.6,2,0,1,5,3,4,2,3,2,3,4,5,Data Science & AI,MCQ 
1,1,1,2.4,2,0,0,5,1,5,1,1,1,1,5,5,Computer Science & IT,MCQ 
0,1,1,2.5,2,2,1,3,2,3,1,2,2,3,5,5,Data Science & AI,Practical/Project-Based
1,1,1,3.44,2,1,2,3,5,3,4,5,5,5,3,3,Data Science & AI,Written 
0,1,1,2.1,2,0,0,5,5,5,5,1,5,1,5,5,Data Science & AI,MCQ 
1,1,2,2.5,2,0,0,3,3,3,5,5,5,5,5,1,Data Science & AI,Other
1,1,1,2.5,2,0,1,5,3,2,5,4,4,4,5,5,Data Science & AI,Other
1,1,1,3.3,1,0,1,2,4,2,4,4,2,4,4,4,Data Science & AI,Other
1,1,1,1.666,2,0,0,5,5,5,5,5,4,5,5,5,Data Science & AI,MCQ 
1,1,1,3.58,2,0,2,5,3,5,1,2,4,3,3,3,Data Science & AI,Mixed 
0,1,1,3,1,0,1,1,5,1,1,5,5,1,5,5,Data Science & AI,Other
0,1,1,2.95,1,0,1,4,3,3,3,3,3,3,3,3,Data Science & AI,Other
1,1,1,3.52,2,0,1,5,2,5,1,3,3,3,4,4,Data Science & AI,Mixed 
1,1,1,3.1173,1,0,0,3,3,3,3,4,4,2,4,4,Data Science & AI,MCQ 
1,1,1,3.2,1,0,1,3,3,2,2,4,5,4,4,5,Data Science & AI,Mixed 
1,1,1,3.078,2,0,0,2,4,2,5,5,4,4,4,2,Data Science & AI,Mixed 
0,1,1,2.3,1,1,2,3,5,1,4,4,5,4,4,2,Data Science & AI,MCQ 
1,1,1,2.9999,2,0,1,1,5,5,1,1,5,1,5,5,Data Science & AI,MCQ 
0,1,1,2.97,1,1,1,5,3,2,3,2,2,4,3,3,Computer Science & IT,MCQ 
1,1,1,2.8,2,1,1,1,4,2,4,5,5,3,4,5,Data Science & AI,Practical/Project-Based
0,1,1,3.5,2,0,2,2,3,4,3,3,4,2,3,4,Computer Science & IT,Mixed 
1,1,1,3,2,0,1,5,1,5,2,4,5,3,1,5,Data Science & AI,MCQ 
1,1,1,1.3,0,0,1,4,1,4,5,3,4,2,5,5,Data Science & AI,Practical/Project-Based
0,1,1,2.5,2,0,1,5,1,5,4,1,5,1,5,5,Data Science & AI,Other
0,1,1,2.9,1,1,0,1,5,3,2,5,2,5,4,1,Data Science & AI,Other
0,1,1,3,1,2,1,3,1,1,3,5,5,5,3,4,Data Science & AI,Other
1,1,1,2.2,1,0,2,5,2,3,5,4,5,3,5,4,Data Science & AI,Other
1,1,1,2.5,2,0,2,5,1,5,1,1,1,1,5,5,Data Science & AI,MCQ 
1,1,1,3.3,2,0,1,4,2,4,4,2,4,3,5,5,Data Science & AI,MCQ 
1,1,1,2.9,2,0,1,4,2,4,4,2,4,3,4,5,Data Science & AI,MCQ 
0,1,1,3.62,1,0,1,4,2,4,2,2,5,1,5,4,Computer Science & IT,MCQ 
0,1,1,2.6,1,0,2,5,3,2,4,5,4,4,4,3,Data Science & AI,Practical/Project-Based
0,1,1,3.15,1,0,1,3,1,4,3,1,5,1,5,5,Computer Science & IT,MCQ 
1,1,1,2.5291,2,0,2,5,3,5,5,4,1,3,5,3,Data Science & AI,Mixed 
1,1,1,3.29,1,0,1,4,2,4,5,4,4,3,4,5,Data Science & AI,Other
1,1,1,2.27,2,2,0,2,4,3,4,5,3,4,2,3,Data Science & AI,Mixed 
1,1,1,2.49,1,0,0,5,1,5,5,1,5,1,1,2,Data Science & AI,MCQ 
1,1,1,3.4116,1,2,1,3,4,3,4,4,2,2,4,4,Data Science & AI,Mixed 
1,1,1,3.4116,0,2,2,3,3,3,5,3,3,3,5,3,Data Science & AI,Mixed 
1,1,1,2.5,1,0,2,4,2,3,3,3,4,3,4,2,Computer Science & IT,Other
1,1,1,2.4,1,2,2,2,4,3,4,4,3,4,4,4,Data Science & AI,Mixed 
1,0,1,2.1,1,0,1,5,1,5,5,2,5,1,5,5,Data Science & AI,Other
1,1,1,3.2,2,1,1,4,4,2,3,5,4,5,2,4,Data Science & AI,Other
1,1,1,3,1,0,1,4,3,5,4,3,2,2,5,4,Data Science & AI,Other
1,1,1,4,1,0,1,5,2,4,5,1,4,2,5,5,Data Science & AI,Other
1,1,1,3.4115,2,1,2,2,5,2,3,5,4,5,3,3,Data Science & AI,Other
0,1,1,3.76,1,0,1,4,4,3,3,3,4,3,2,4,Data Science & AI,MCQ 
0,1,1,3.64,1,1,2,4,4,1,4,4,4,4,4,4,Computer Science & IT,Other
1,1,1,3.07,2,2,1,5,3,4,5,5,4,5,3,3,Data Science & AI,MCQ 
1,1,1,1.3,1,0,1,2,1,1,5,1,3,5,5,5,Computer Science & IT,MCQ 
1,1,1,3,1,0,0,5,1,5,5,2,5,3,2,1,Data Science & AI,Other
1,1,1,2.6,1,0,1,3,3,3,3,3,3,3,3,3,Computer Science & IT,Other
0,0,1,1.8233,1,0,2,1,3,2,5,3,4,4,3,2,Data Science & AI,MCQ 
0,0,1,1.78,1,0,2,5,2,3,4,1,3,3,4,5,Data Science & AI,MCQ 
1,1,1,2.5,2,0,1,5,1,5,4,2,5,1,5,5,Data Science & AI,Practical/Project-Based
1,1,1,2,0,0,1,3,1,4,4,3,5,1,5,5,Other,MCQ 
1,1,0,3,2,0,1,5,2,2,5,2,3,3,3,3,Data Science & AI,Other
1,1,0,2.5,2,0,1,5,1,5,4,2,5,1,5,5,Data Science & AI,MCQ 
1,1,1,3,2,1,1,4,3,3,1,3,2,4,1,5,Computer Science & IT,Practical/Project-Based
1,1,1,1.5,2,0,0,1,1,3,1,3,4,4,2,3,Data Science & AI,MCQ 
1,1,1,2.6,1,0,1,4,2,4,3,3,4,2,2,4,Computer Science & IT,Other
1,1,1,3.84,2,0,1,4,4,4,5,5,4,5,5,4,Data Science & AI,Mixed 
0,1,1,3.3,2,0,1,4,4,4,5,4,3,2,5,5,Data Science & AI,MCQ 
0,1,1,3.4,2,2,2,2,2,5,4,3,4,3,1,5,Computer Science & IT,Other
1,1,1,1.95,2,1,0,3,5,3,2,3,4,2,1,2,Data Science & AI,MCQ 
0,1,1,3,2,1,0,3,4,2,1,3,4,3,1,2,Computer Science & IT,Other
1,1,1,3.058,2,1,0,3,5,3,1,5,3,5,1,1,Data Science & AI,Mixed 
1,1,1,3,2,1,2,5,3,2,4,3,3,3,3,3,Data Science & AI,Practical/Project-Based
0,1,1,2.7,2,2,2,2,3,2,3,5,4,1,3,2,Computer Science & IT,Other
1,1,1,2.99,1,0,1,2,4,3,4,2,4,3,3,4,Data Science & AI,Mixed 
1,1,1,3,2,0,0,1,1,1,1,1,1,1,1,1,Data Science & AI,Other
0,1,1,3.3333,1,0,0,3,3,2,5,1,2,1,5,3,Data Science & AI,Other
1,1,1,1.7,2,0,1,1,3,3,5,3,1,2,5,5,Data Science & AI,Other
1,1,1,3,2,0,1,3,5,1,5,5,4,5,4,4,Data Science & AI,MCQ 
1,1,1,2.881,1,1,1,2,4,2,4,4,4,3,3,4,Data Science & AI,Other
1,1,1,3.4,2,1,2,3,3,3,3,5,3,4,5,4,Data Science & AI,Mixed 
0,2,1,2.7,2,1,1,4,3,4,4,5,5,4,3,5,Data Science & AI,Mixed 
1,1,1,2.6,0,0,1,5,1,4,5,3,5,2,5,5,Data Science & AI,Other
0,1,1,3.5,2,1,1,4,2,3,5,3,2,4,5,5,Data Science & AI,Mixed 
0,1,1,3,2,1,1,4,2,3,3,3,3,4,3,4,Data Science & AI,Other
0,1,1,2.66,2,0,2,5,2,4,3,2,3,3,3,4,Data Science & AI,Practical/Project-Based
1,1,1,2.3,1,0,1,3,3,3,3,3,3,3,3,3,Other,Other
0,1,1,2.67,2,1,1,4,2,3,5,5,4,4,4,5,Data Science & AI,Mixed 
0,1,1,3.4,1,1,1,5,3,2,2,4,5,4,2,4,Data Science & AI,Mixed 
1,1,1,2.07,2,1,1,2,4,5,3,2,5,3,5,5,Data Science & AI,Other
1,1,1,2.2,0,1,1,2,4,5,3,3,3,3,3,3,Other,Other
1,1,1,2.3569,2,0,1,5,1,4,5,1,5,1,5,5,Data Science & AI,Written 
1,1,1,3.03,2,2,1,5,3,3,1,2,4,3,4,4,Data Science & AI,MCQ 
0,1,1,2.8,2,0,2,4,3,4,3,2,1,3,4,4,Data Science & AI,Practical/Project-Based
0,1,1,3.2,1,2,2,3,3,3,3,3,3,3,3,3,Data Science & AI,Practical/Project-Based
0,1,1,3,2,0,2,4,4,4,2,3,3,3,4,4,Data Science & AI,Practical/Project-Based
0,1,1,2.7,1,0,2,3,3,3,3,4,2,3,3,3,Computer Science & IT,Practical/Project-Based
1,1,1,1.8,2,0,1,4,4,2,3,2,5,1,5,5,Other,Other
0,1,1,3.77,2,1,0,3,5,1,4,5,1,1,2,2,Engineering,Written 
1,2,1,3.5,1,2,2,3,5,3,3,5,5,5,3,5,Data Science & AI,Mixed 
1,1,1,2.58,1,0,1,5,1,5,3,2,4,2,5,4,Data Science & AI,MCQ 
1,2,1,3.5,2,1,2,2,4,2,4,5,4,5,2,3,Business & Economics,Mixed 
1,1,1,3.3,2,2,1,3,3,3,2,4,5,4,2,3,Computer Science & IT,Practical/Project-Based
1,0,0,-,2,1,1,2,4,2,4,4,4,4,2,4,High School Student,Mixed 
0,1,1,-,1,0,2,3,4,2,4,3,4,3,5,3,Data Science & AI,Written 
1,1,1,3.0584,2,2,2,4,2,3,4,3,5,2,4,5,Other,MCQ 
1,1,1,-,0,0,0,5,3,5,3,2,5,2,2,1,Other,MCQ 
1,2,2,3.9,2,1,1,3,4,2,4,4,4,4,4,3,Medical & Health,Practical/Project-Based
0,0,1,2.7,1,1,1,3,4,2,3,4,2,4,2,1,Data Science & AI,Other
1,1,1,3.8,2,1,1,5,3,3,4,5,4,5,4,5,Computer Science & IT,Practical/Project-Based
0,2,2,3.9,1,2,2,4,4,2,3,5,3,4,5,3,Medical & Health,Written 
0,1,1,3.5,0,1,0,2,5,1,4,5,2,5,3,1,Computer Science & IT,Written 
1,0,0,-,2,0,0,5,2,4,5,2,5,2,5,2,High School Student,MCQ 
1,1,1,2.5,2,0,1,5,1,5,5,1,5,1,5,5,Data Science & AI,MCQ 
0,1,1,2.03,1,0,1,4,3,5,3,3,4,3,2,5,Computer Science & IT,MCQ 
