Timestamp,Gender,Level of Study,Age,Field of Study,CGPA,How often do you take exams?,Which system allows you to better demonstrate your understanding?,Which exam type causes you more stress?,If you could design the perfect examination system for your field what features would it include?,MCQ exams are fair because grading is objective.,Written exams are fair despite potential subjectivity. ,MCQ exams accurately reflect my knowledge.,Guessing can improve scores in MCQ exams.   ,Written exams encourage deeper understanding.   ,MCQ exams are easier to prepare for than written exams.   ,Written exams better measure understanding.   ,I often run out of time during written exams.  ,I experience higher stress during written exams than MCQ exams.  
4/12/2026 14:03:23,Male,Undergraduate,18-22,Computer science ,2.9,Sometimes,Both equally,Both equally,Mix between mcq and written,3,4,2,5,4,4,4,2,3
4/12/2026 14:25:14,Male,Undergraduate,18-22,Computer Engineering,3.7,Very often,Both equally,Both equally,.,5,3,5,3,5,4,5,2,3
4/12/2026 14:32:14,Male,Undergraduate,18-22,Computer and Data Science,3.68,Sometimes,Both equally,Written exams,A mixture of MCQ and write in the missing field type of questions.,5,4,3,5,2,5,3,5,4
4/12/2026 14:34:22,Male,Undergraduate,18-22,Engineer ,4,Sometimes,Both equally,Both equally,Training for next exam,5,5,5,5,5,5,5,5,5
4/12/2026 14:34:38,Male,Undergraduate,18-22,CS,3,Sometimes,Written exams,Written exams,Mix of multiple and written questions,4,4,3,4,4,4,4,4,4
4/12/2026 14:43:19,Female,High School,Under 18,Science,3,Sometimes,Both equally,Both equally,"McQexams

",2,2,2,2,2,2,2,2,2
4/12/2026 14:43:56,Female,Undergraduate,18-22,Computer science and artificial intelligence ,2.8,Very often,MCQ exams,Written exams,McQ ,5,3,5,5,5,5,5,3,5
4/12/2026 14:54:54,Female,Undergraduate,18-22,Civil engineering ,2.8,Sometimes,Written exams,Both equally,Practical system,4,4,2,5,3,2,4,5,3
4/12/2026 14:59:13,Male,Undergraduate,18-22,Electrical Engineering,2.5,Very often,Written exams,Written exams,Written,2,5,2,4,5,4,5,3,5
4/12/2026 15:16:27,Male,Undergraduate,18-22,Clinical Pharmacist ,3.6,Sometimes,Written exams,Both equally,Casses ,3,5,3,4,4,5,4,4,4
4/12/2026 16:24:19,Male,High School,18-22,Faculty of business (Alexandria),3.888,Very often,MCQ exams,Written exams,MCQ,5,1,5,5,3,5,3,5,5
4/12/2026 16:44:55,Female,Undergraduate,18-22,Business ,2.312,Sometimes,Written exams,Written exams,It's depends on the subject ,2,5,2,5,5,3,5,3,4
4/12/2026 16:53:53,Male,Undergraduate,18-22,Languages,-,Rearely,Written exams,Written exams,"Analysis, McQ,Written,Make a question and answer it",3,5,3,2,5,1,4,4,5
4/12/2026 17:35:07,Female,Postgraduate,23-28,Law,-,Sometimes,MCQ exams,Written exams,Mcq ,5,3,4,4,3,5,3,2,4
4/12/2026 17:45:29,Female,Undergraduate,18-22,Computer Science ,3.64,Very often,Both equally,Written exams,Problem solving questions mcq and for the questions that needs steps like math the question should be written to write the steps and take points on the steps,4,2,4,5,3,3,2,4,5
4/12/2026 18:23:34,Male,High School,18-22,-,-,Sometimes,Both equally,Both equally,Old teacher to take a look at my stupid answers,1,1,3,5,3,3,4,5,4
4/12/2026 19:28:13,Male,Undergraduate,18-22,Fisheries ,2.1,Sometimes,Written exams,Both equally,Combination more than written and mcq to evaluate the students more than his memory but more on his analytical and critical thinking ,2,4,3,5,2,3,5,4,2
4/12/2026 20:08:14,Male,Undergraduate,18-22,Computer science (intelligent systems),3,Very often,Written exams,Both equally,"Adaptive Testing (AI-Driven Difficulty),Fairness & Bias Control",3,5,3,4,5,2,5,4,4
4/12/2026 21:45:38,Male,High School,18-22,law,3,Sometimes,MCQ exams,Written exams,.,4,2,5,5,5,5,5,5,3
4/12/2026 23:38:21,Male,Undergraduate,18-22,Chemistry faculty of science ,3.2,Very often,MCQ exams,Both equally,More of practical exams,5,3,3,5,5,5,5,5,5
4/13/2026 0:02:29,Male,Undergraduate,18-22,Computer Engineering,3.1,Very often,Written exams,Both equally,questions that are based on understanding and not memorizing,3,5,2,4,5,3,5,2,3
4/13/2026 0:16:36,Female,Undergraduate,18-22,Accounting ,3.58,Very often,Written exams,Written exams,Short written exams,3,4,3,5,4,5,4,4,4
4/13/2026 12:50:23,Female,Postgraduate,23-28,Anthropology,3.6,Sometimes,MCQ exams,Written exams,يبقي ال MCQ من اختيارين بس مش 4,5,2,5,2,1,3,1,2,5
4/13/2026 14:56:42,Male,Undergraduate,18-22,Pharmacy ,2.7,Very often,Both equally,Written exams,Few written questions and some mcq,3,4,3,3,4,5,3,5,5
4/14/2026 9:32:37,Female,Postgraduate,23-28,Architectural engineering ,3.02,Very often,Both equally,Written exams,It would include both : written and Mcq questions ,4,4,2,4,4,4,4,1,3
4/14/2026 9:36:05,Female,Postgraduate,23-28,Applied Languages and Translation,3.5,Sometimes,Both equally,Written exams,"I would prefer an MCQ feature for vocabulary parts, and written paragraphs to translate. Basically a mix of both.",5,3,5,3,3,2,3,4,3
4/15/2026 13:51:33,Male,Undergraduate,18-22,Educaton,2.6,Sometimes,Written exams,MCQ exams,-,3,4,2,4,4,2,4,2,2
4/16/2026 10:20:01,Male,High School,Under 18,-,-,Very often,MCQ exams,MCQ exams,ي,1,1,1,1,1,1,1,1,1
4/16/2026 10:24:11,Male,Undergraduate,18-22,Engineering,3.6,Very often,Both equally,Written exams,Combination of practical problem-solving and short written justifications.,4,3,3,5,5,4,4,4,5
4/16/2026 10:25:38,Female,Postgraduate,23-28,Psychology,3.9,Sometimes,Written exams,Both equally,Case studies and essays.,2,5,2,4,5,2,5,3,3
4/16/2026 10:27:02,Male,High School,Under 18,General Science,3.2,Rearely,MCQ exams,MCQ exams,"More time, less tricky wording.",5,2,4,5,2,5,2,2,1
4/16/2026 10:28:22,Female,Undergraduate,18-22,Literature,3.8,Very often,Written exams,Written exams,Take-home essays with clear rubrics.,3,4,2,3,5,2,5,5,5
4/16/2026 10:29:21,Female,Undergraduate,18-22,Biology,3,Very often,Both equally,Both equally,"Diagrams, short answers, practical labs.",4,4,3,5,4,3,3,3,3
4/16/2026 10:30:41,Male,High School,Under 18,-,-,Sometimes,Written exams,Written exams,Mix between MCQ and Written questions,2,5,2,4,5,3,5,4,4
4/16/2026 12:36:29,Female,Postgraduate,23-28,Architecture ,3.02,Sometimes,Written exams,Both equally,"Written questions, where you can also sketch to demonstrate your answer and MCQ but with explanation ",3,4,2,5,4,3,4,1,3
4/22/2026 9:30:24,Male,Undergraduate,18-22,Computer science ,3,Very often,MCQ exams,Written exams,"Clarity, fairness, Comprehensiveness of questions",4,1,4,4,2,5,1,4,5
4/23/2026 11:38:02,Female,Undergraduate,18-22,حقوق ,-,Sometimes,Written exams,Written exams,مقالى,2,4,1,4,5,4,5,3,5
4/23/2026 12:49:36,Male,Undergraduate,18-22,Data science ,2.6,Very often,MCQ exams,Written exams,MCQ,5,3,4,2,3,2,3,4,5
4/23/2026 12:49:36,Male,Undergraduate,18-22,computer science ,2.4,Very often,MCQ exams,MCQ exams,mcq,5,1,5,1,1,1,1,5,5
4/23/2026 12:49:56,Female,Undergraduate,18-22,Computer and data science,2.5,Very often,Both equally,Written exams,Practical ones,3,2,3,1,2,2,3,5,5
4/23/2026 12:49:59,Male,Undergraduate,18-22,Data scince,3.44,Very often,Written exams,Both equally,الجزء الاكبر مقالي,3,5,3,4,5,5,5,3,3
4/23/2026 12:50:07,Female,Undergraduate,18-22,Data science ,2.1,Very often,MCQ exams,MCQ exams,"All question MCQ , not hard questions",5,5,5,5,1,5,1,5,5
4/23/2026 12:50:18,Male,Undergraduate,23-28,Data since ,2.5,Very often,MCQ exams,MCQ exams,Intelligence question ,3,3,3,5,5,5,5,5,1
4/23/2026 12:50:36,Male,Undergraduate,18-22,Data science ,2.5,Very often,MCQ exams,Written exams,Nothing ,5,3,2,5,4,4,4,5,5
4/23/2026 12:50:49,Male,Undergraduate,18-22,Data Science,3.3,Sometimes,MCQ exams,Written exams,By focusing the questions to test the understanding of the field rather than the memorising based questions,2,4,2,4,4,2,4,4,4
4/23/2026 12:50:55,Male,Undergraduate,18-22,Data science ,1.666,Very often,MCQ exams,MCQ exams,Mcq ,5,5,5,5,5,4,5,5,5
4/23/2026 12:50:55,Male,Undergraduate,18-22,Data science ,3.58,Very often,MCQ exams,Both equally,Mcq exam with bonus written questions ,5,3,5,1,2,4,3,3,3
4/23/2026 12:50:56,Female,Undergraduate,18-22,Data Science ,3,Sometimes,MCQ exams,Written exams,I don't have idea ,1,5,1,1,5,5,1,5,5
4/23/2026 12:51:02,Female,Undergraduate,18-22,Computer and data science ,2.95,Sometimes,MCQ exams,Written exams,S,4,3,3,3,3,3,3,3,3
4/23/2026 12:51:17,Male,Undergraduate,18-22,Data science ,3.52,Very often,MCQ exams,Written exams,Mcq with written bonus questions,5,2,5,1,3,3,3,4,4
4/23/2026 12:51:21,Male,Undergraduate,18-22,Data science ,3.1173,Sometimes,MCQ exams,MCQ exams,Mcq,3,3,3,3,4,4,2,4,4
4/23/2026 12:51:26,Male,Undergraduate,18-22,Data science ,3.2,Sometimes,MCQ exams,Written exams,Mcq + written ,3,3,2,2,4,5,4,4,5
4/23/2026 12:51:30,Male,Undergraduate,18-22,Data science ,3.078,Very often,MCQ exams,MCQ exams,McQ exam with written bonus questions,2,4,2,5,5,4,4,4,2
4/23/2026 12:51:33,Female,Undergraduate,18-22,Data science,2.3,Sometimes,Written exams,Both equally,MCQ,3,5,1,4,4,5,4,4,2
4/23/2026 12:51:40,Male,Undergraduate,18-22,Computer and Data science,2.9999,Very often,MCQ exams,Written exams, To Put MCQ questions,1,5,5,1,1,5,1,5,5
4/23/2026 12:51:41,Female,Undergraduate,18-22,CS,2.97,Sometimes,Written exams,Written exams,Mcq,5,3,2,3,2,2,4,3,3
4/23/2026 12:51:45,Male,Undergraduate,18-22,Data science ,2.8,Very often,Written exams,Written exams,Practical implementation,1,4,2,4,5,5,3,4,5
4/23/2026 12:51:49,Female,Undergraduate,18-22,Computer Science ,3.5,Very often,MCQ exams,Both equally,Both written and mcq,2,3,4,3,3,4,2,3,4
4/23/2026 12:52:01,Male,Undergraduate,18-22,Data science ,3,Very often,MCQ exams,Written exams,Make it MCQ,5,1,5,2,4,5,3,1,5
4/23/2026 12:52:06,Male,Undergraduate,18-22,Data science,1.3,Rearely,MCQ exams,Written exams,"Ask us to make interisting projects
",4,1,4,5,3,4,2,5,5
4/23/2026 12:52:36,Female,Undergraduate,18-22,data science ,2.5,Very often,MCQ exams,Written exams,no thing,5,1,5,4,1,5,1,5,5
4/23/2026 12:53:01,Female,Undergraduate,18-22,Computers and data science ,2.9,Sometimes,Written exams,MCQ exams,Optional questions,1,5,3,2,5,2,5,4,1
4/23/2026 12:53:08,Female,Undergraduate,18-22,Data Science ,3,Sometimes,Both equally,Written exams,I don't have idea,3,1,1,3,5,5,5,3,4
4/23/2026 12:53:36,Male,Undergraduate,18-22,Computer and data science ,2.2,Sometimes,MCQ exams,Both equally,More time,5,2,3,5,4,5,3,5,4
4/23/2026 12:53:37,Male,Undergraduate,18-22,Data,2.5,Very often,MCQ exams,Both equally,MCQ,5,1,5,1,1,1,1,5,5
4/23/2026 12:53:54,Male,Undergraduate,18-22,Computing and Data science ,3.3,Very often,MCQ exams,Written exams,McQ ,4,2,4,4,2,4,3,5,5
4/23/2026 12:53:59,Male,Undergraduate,18-22,Data science ,2.9,Very often,MCQ exams,Written exams,MCQ ,4,2,4,4,2,4,3,4,5
4/23/2026 12:54:10,Female,Undergraduate,18-22,Computer science (general),3.62,Sometimes,MCQ exams,Written exams,MCQ that test understanding,4,2,4,2,2,5,1,5,4
4/23/2026 12:54:11,Female,Undergraduate,18-22,Data science ,2.6,Sometimes,MCQ exams,Both equally,Practical ,5,3,2,4,5,4,4,4,3
4/23/2026 12:54:12,Female,Undergraduate,18-22,Computer science ,3.15,Sometimes,MCQ exams,Written exams,Mcq ,3,1,4,3,1,5,1,5,5
4/23/2026 12:54:17,Male,Undergraduate,18-22,Computing and data science,2.5291,Very often,MCQ exams,Both equally,50 mcq and 50 written plus oral questions,5,3,5,5,4,1,3,5,3
4/23/2026 12:54:35,Male,Undergraduate,18-22,Data science ,3.29,Sometimes,MCQ exams,Written exams,Focus on important questions and more time,4,2,4,5,4,4,3,4,5
4/23/2026 12:54:42,Male,Undergraduate,18-22,Computers and Data Sciences,2.27,Very often,Both equally,MCQ exams,Both,2,4,3,4,5,3,4,2,3
4/23/2026 12:54:46,Male,Undergraduate,18-22,Data science,2.49,Sometimes,MCQ exams,MCQ exams,MCQ exams,5,1,5,5,1,5,1,1,2
4/23/2026 12:55:03,Male,Undergraduate,18-22,Computer science and data science ,3.4116,Sometimes,Both equally,Written exams,Mcq and written in the exam ,3,4,3,4,4,2,2,4,4
4/23/2026 12:55:18,Male,Undergraduate,18-22,Computers and data science ,3.4116,Rearely,Both equally,Both equally,Mcq and written ,3,3,3,5,3,3,3,5,3
4/23/2026 12:55:19,Male,Undergraduate,18-22,Computer science ,2.5,Sometimes,MCQ exams,Both equally,Make questions smaller,4,2,3,3,3,4,3,4,2
4/23/2026 12:55:29,Male,Undergraduate,18-22,Data science ,2.4,Sometimes,Both equally,Both equally,MCQ and 2 written ,2,4,3,4,4,3,4,4,4
4/23/2026 12:55:33,Male,High School,18-22,Data science,2.1,Sometimes,MCQ exams,Written exams,.,5,1,5,5,2,5,1,5,5
4/23/2026 12:55:45,Male,Undergraduate,18-22,Data science ,3.2,Very often,Written exams,Written exams,"maybe it'd be better if questions gradually increase difficulty, I'm not saying add a lot of hard problems , but adding one here and there that could actually measure the understanding of the student .",4,4,2,3,5,4,5,2,4
4/23/2026 12:55:52,Male,Undergraduate,18-22,Data science,3,Sometimes,MCQ exams,Written exams,Thanks,4,3,5,4,3,2,2,5,4
4/23/2026 12:56:24,Male,Undergraduate,18-22,Data science ,4,Sometimes,MCQ exams,Written exams,.,5,2,4,5,1,4,2,5,5
4/23/2026 12:56:34,Male,Undergraduate,18-22,computer ans data sciences,3.4115,Very often,Written exams,Both equally,digital examination,2,5,2,3,5,4,5,3,3
4/23/2026 12:56:39,Female,Undergraduate,18-22,Data science ,3.76,Sometimes,MCQ exams,Written exams,MCQ,4,4,3,3,3,4,3,2,4
4/23/2026 12:56:59,Female,Undergraduate,18-22,Cs (general),3.64,Sometimes,Written exams,Both equally, .,4,4,1,4,4,4,4,4,4
4/23/2026 12:57:15,Male,Undergraduate,18-22,Data science ,3.07,Very often,Both equally,Written exams,"The variety of questions includes multiple-choice and essay questions, along with varying the difficulty level of the questions from low to advanced.",5,3,4,5,5,4,5,3,3
4/23/2026 12:57:32,Male,Undergraduate,18-22,programming ,1.3,Sometimes,MCQ exams,Written exams,My choice is to reduce the number of choices. ,2,1,1,5,1,3,5,5,5
4/23/2026 12:58:21,Male,Undergraduate,18-22,Data Science,3,Sometimes,MCQ exams,MCQ exams,-,5,1,5,5,2,5,3,2,1
4/23/2026 12:59:49,Male,Undergraduate,18-22,Computer science ,2.6,Sometimes,MCQ exams,Written exams, ,3,3,3,3,3,3,3,3,3
4/23/2026 13:00:30,Female,High School,18-22,Data science ,1.8233,Sometimes,MCQ exams,Both equally,MCQ,1,3,2,5,3,4,4,3,2
4/23/2026 13:00:50,Female,High School,18-22,Data science ,1.78,Sometimes,MCQ exams,Both equally,MCQ,5,2,3,4,1,3,3,4,5
4/23/2026 13:02:09,Male,Undergraduate,18-22,Data Science ,2.5,Very often,MCQ exams,Written exams,"
​""A system primarily based on MCQ and practical coding assessments to ensure objectivity, reduce human error in grading, and focus on logical problem-solving skills rather than memorization.""",5,1,5,4,2,5,1,5,5
4/23/2026 13:02:27,Male,Undergraduate,18-22,Computer And Date Science ,2,Rearely,MCQ exams,Written exams,MCQ,3,1,4,4,3,5,1,5,5
4/23/2026 13:02:29,Male,Undergraduate,Under 18,Data science ,3,Very often,MCQ exams,Written exams,Don’t know ,5,2,2,5,2,3,3,3,3
4/23/2026 13:02:52,Male,Undergraduate,Under 18,Data Science,2.5,Very often,MCQ exams,Written exams,امسكيو,5,1,5,4,2,5,1,5,5
4/23/2026 13:04:41,Male,Undergraduate,18-22,CS,3,Very often,Written exams,Written exams,مساحة إبداعية خاصة للطالب مش مجرد باكدچ او علامات بنشوف مين يقرب للدرجة النهائية اكتر وخلاص، حتى ال projects بيبقى عليها قيود شديدة ,4,3,3,1,3,2,4,1,5
4/23/2026 13:05:27,Male,Undergraduate,18-22,Data sceinse,1.5,Very often,MCQ exams,MCQ exams,كل الاسئلة mcq,1,1,3,1,3,4,4,2,3
4/23/2026 13:17:49,Male,Undergraduate,18-22,Computer science ,2.6,Sometimes,MCQ exams,Written exams,Focus in knowledge ,4,2,4,3,3,4,2,2,4
4/23/2026 13:20:23,Male,Undergraduate,18-22,Computers and data science ,3.84,Very often,MCQ exams,Written exams,"For math exams: Written questions with 4 or 6 answers to make sure that the steps are correct and the answer is exist
For cs exams: mcq only ",4,4,4,5,5,4,5,5,4
4/23/2026 13:43:10,Female,Undergraduate,18-22,computer and data science ,3.3,Very often,MCQ exams,Written exams,"mcq questions, not alot",4,4,4,5,4,3,2,5,5
4/23/2026 14:05:05,Female,Undergraduate,18-22,Computer science ,3.4,Very often,Both equally,Both equally,M,2,2,5,4,3,4,3,1,5
4/23/2026 14:06:44,Male,Undergraduate,18-22,Data science ,1.95,Very often,Written exams,MCQ exams,Write and mcq,3,5,3,2,3,4,2,1,2
4/23/2026 14:07:07,Female,Undergraduate,18-22,Computer sciences,3,Very often,Written exams,MCQ exams,..,3,4,2,1,3,4,3,1,2
4/23/2026 14:07:23,Male,Undergraduate,18-22,DATA science ,3.058,Very often,Written exams,MCQ exams,Written and not be MCQ,3,5,3,1,5,3,5,1,1
4/23/2026 14:07:28,Male,Undergraduate,18-22,Computers and data science ,3,Very often,Written exams,Both equally,Practical more than written ,5,3,2,4,3,3,3,3,3
4/23/2026 14:07:31,Female,Undergraduate,18-22,Computer science,2.7,Very often,Both equally,Both equally,.,2,3,2,3,5,4,1,3,2
4/23/2026 14:07:35,Male,Undergraduate,18-22,DATA SCIENCE ,2.99,Sometimes,MCQ exams,Written exams,Most mcq and 3 written questions ,2,4,3,4,2,4,3,3,4
4/23/2026 14:07:44,Male,Undergraduate,18-22,Data science,3,Very often,MCQ exams,MCQ exams,امتحان طيب,1,1,1,1,1,1,1,1,1
4/23/2026 14:07:51,Female,Undergraduate,18-22,FCDS ,3.3333,Sometimes,MCQ exams,MCQ exams,Mathematic and logic gates ,3,3,2,5,1,2,1,5,3
4/23/2026 14:09:06,Male,Undergraduate,18-22,Faculty of computer and data science ,1.7,Very often,MCQ exams,Written exams,..,1,3,3,5,3,1,2,5,5
4/23/2026 14:09:12,Male,Undergraduate,18-22,Data science ,3,Very often,MCQ exams,Written exams,Multiple choices with only 2 choices,3,5,1,5,5,4,5,4,4
4/23/2026 14:09:16,Male,Undergraduate,18-22,Data Science,2.881,Sometimes,Written exams,Written exams,idk,2,4,2,4,4,4,3,3,4
4/23/2026 14:09:34,Male,Undergraduate,18-22,Faculty of Computer and Data Science ,3.4,Very often,Written exams,Both equally,MCQ & Written,3,3,3,3,5,3,4,5,4
4/23/2026 14:09:47,Female,Postgraduate,18-22,Data science ,2.7,Very often,Written exams,Written exams,Both,4,3,4,4,5,5,4,3,5
4/23/2026 14:10:32,Male,Undergraduate,18-22,General - Data science ,2.6,Rearely,MCQ exams,Written exams,True and false ,5,1,4,5,3,5,2,5,5
4/23/2026 14:10:54,Female,Undergraduate,18-22,Data science ,3.5,Very often,Written exams,Written exams,Both written and mcq,4,2,3,5,3,2,4,5,5
4/23/2026 14:11:02,Female,Undergraduate,18-22,Computer and Data science ,3,Very often,Written exams,Written exams,.,4,2,3,3,3,3,4,3,4
4/23/2026 14:11:05,Female,Undergraduate,18-22,Data science ,2.66,Very often,MCQ exams,Both equally,MCQ + Practicals ,5,2,4,3,2,3,3,3,4
4/23/2026 14:11:11,Male,Undergraduate,18-22,General ,2.3,Sometimes,MCQ exams,Written exams,Open-book,3,3,3,3,3,3,3,3,3
